2026-06-27 11:20:09.982 | INFO     | source=remax run=- target=api_endpoint:remax-api-search-remax-caba-newest-page-0 | inmob.ingestion.sources.base:fetch:132 - Fetching target method=GET uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findAllWithEntrepreneurships?page=0&pageSize=24&sort=-createdAt&in=operationId:1&locations=in%3ACF%40%3Cb%3ECapital%3C%2Fb%3E%20%3Cb%3EF%3C%2Fb%3Eederal%3A%3A%3A%3A%3A%3A&landingPath=comprar-propiedades
2026-06-27 11:20:09.982 | INFO     | source=argenprop run=- target=search_results:argenprop-search-argenprop-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:132 - Fetching target method=GET uri=https://www.argenprop.com/departamentos/venta/capital-federal?orden-masnuevos
2026-06-27 11:20:09.982 | INFO     | source=properati run=- target=search_results:properati-search-properati-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:132 - Fetching target method=GET uri=https://www.properati.com.ar/s/capital-federal/departamento/venta?sort=published_on_desc
2026-06-27 11:20:09.982 | INFO     | source=mudafy run=- target=search_results:mudafy-search-mudafy-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:132 - Fetching target method=GET uri=https://mudafy.com.ar/venta/propiedades/caba?sort=published_at%3Adesc%3Anulls_last
2026-06-27 11:20:09.982 | INFO     | source=cabaprop run=- target=api_endpoint:cabaprop-api-search-cabaprop-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:132 - Fetching target method=POST uri=https://cabaprop.com.ar/api/v1/properties/find-properties?offset=0&limit=12&orderBy=created_at&sort=desc
2026-06-27 11:20:10.320 | DEBUG    | source=zonaprop run=- target=search_results:zonaprop-search-zonaprop-caba-newest-page-1 | inmob.ingestion.sources.browser:fetch_rendered_html:132 - Launching Chromium for browser capture
2026-06-27 11:20:10.700 | DEBUG    | source=zonaprop run=- target=search_results:zonaprop-search-zonaprop-caba-newest-page-1 | inmob.ingestion.sources.browser:fetch_rendered_html:147 - Setting Playwright extra headers header_names=['accept', 'accept-language']
2026-06-27 11:20:11.370 | INFO     | source=mudafy run=- target=search_results:mudafy-search-mudafy-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:170 - Fetched target status_code=200 media_type=text/html payload_bytes=843734 final_uri=https://mudafy.com.ar/venta/propiedades/caba?sort=published_at%3Adesc%3Anulls_last elapsed_seconds=1.388
2026-06-27 11:20:11.424 | INFO     | source=mudafy run=- target=-:- | inmob.ingestion.sources.mudafy.source:discover_listing_targets:209 - Mudafy HTML discovery completed href_candidates=353 regex_candidates=331 discovered=50 rejected=97 duplicates=537
2026-06-27 11:20:11.425 | INFO     | source=mudafy run=cli-run-mudafy-c48d503e target=search_results:mudafy-search-mudafy-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:220 - Discovered listings on search page count=50 elapsed_seconds=1.517
